run;started;label;sym;price;sup;res;atr;rsi;EL_z1;EL_z2;EL_conf;EL_t1;EL_t2;EL_t3;EL_inv;CL_z1;CL_z2;CL_conf;CL_t1;CL_t2;CL_t3;CL_inv;ES_z1;ES_z2;ES_conf;ES_t1;ES_t2;ES_t3;ES_inv;CS_z1;CS_z2;CS_conf;CS_t1;CS_t2;CS_t3;CS_inv
28406291265;2026-06-29T22:16:09Z;30.06 · 01:16 Київ · Нью-Йорк · close -1h;BTC;60480;58900;60781;498.15;60;58900;59149;59149;60781;61279;61777;58775;60781;;;61279;61777;;;60531;60781;60531;58900;58402;57904;60905;58900;;;58402;57904;;
28406291265;2026-06-29T22:16:09Z;30.06 · 01:16 Київ · Нью-Йорк · close -1h;ETH;1620;1550;1638;16.63;67;1550;1559;1559;1638;1654;1671;1546;1638;;;1654;1671;;;1629;1638;1629;1550;1534;1517;1642;1550;;;1534;1517;;
28406291265;2026-06-29T22:16:09Z;30.06 · 01:16 Київ · Нью-Йорк · close -1h;SOL;75.53;70.51;76.49;1.1115;70;70.51;71.07;71.07;76.49;77.6;78.71;70.23;76.49;;;77.6;78.71;;;75.93;76.49;75.93;70.51;69.4;68.29;76.77;70.51;;;69.4;68.29;;
28459867850;2026-06-30T16:28:10Z;30.06 · 19:28 Київ · Нью-Йорк · open +1h;BTC;58382;58228;60586;437.04;30;58228;58447;58447;60586;61023;61460;58119;60586;;;61023;61460;;;60367;60586;60367;58228;57791;57354;60695;58228;;;57791;57354;;
28459867850;2026-06-30T16:28:10Z;30.06 · 19:28 Київ · Нью-Йорк · open +1h;ETH;1565;1550;1627;13.86;39;1550;1557;1557;1627;1641;1655;1547;1627;;;1641;1655;;;1620;1627;1620;1550;1536;1522;1631;1550;;;1536;1522;;
28459867850;2026-06-30T16:28:10Z;30.06 · 19:28 Київ · Нью-Йорк · open +1h;SOL;73.13;71.9;76.22;0.9523;45;71.9;72.38;72.38;76.22;77.17;78.12;71.66;76.22;;;77.17;78.12;;;75.74;76.22;75.74;71.9;70.95;70;76.46;71.9;;;70.95;70;;
28479597967;2026-06-30T22:20:20Z;01.07 · 01:20 Київ · Нью-Йорк · close -1h;BTC;58640;58201;60049;384.89;39;58201;58393;58393;60049;60434;60819;58105;60049;;;60434;60819;;;59857;60049;59857;58201;57816;57431;60145;58201;;;57816;57431;;
28479597967;2026-06-30T22:20:20Z;01.07 · 01:20 Київ · Нью-Йорк · close -1h;ETH;1572;1550;1600;12.23;44;1550;1556;1556;1600;1612;1624;1547;1600;;;1612;1624;;;1594;1600;1594;1550;1538;1526;1603;1550;;;1538;1526;;
28479597967;2026-06-30T22:20:20Z;01.07 · 01:20 Київ · Нью-Йорк · close -1h;SOL;73.49;71.9;75.8;0.8577;49;71.9;72.33;72.33;75.8;76.66;77.52;71.69;75.8;;;76.66;77.52;;;75.37;75.8;75.37;71.9;71.04;70.18;76.01;71.9;;;71.04;70.18;;
28532830063;2026-07-01T16:36:09Z;01.07 · 19:36 Київ · Нью-Йорк · open +1h;BTC;60147;57800;60092;497.37;68;57800;58049;58049;60092;60589;61087;57676;60092;;;60589;61087;;;59843;60092;59843;57800;57303;56805;60216;57800;;;57303;56805;;
28532830063;2026-07-01T16:36:09Z;01.07 · 19:36 Київ · Нью-Йорк · open +1h;ETH;1620;1553;1617;15.25;68;1553;1561;1561;1617;1632;1648;1549;1617;;;1632;1648;;;1609;1617;1609;1553;1538;1522;1621;1553;;;1538;1522;;
28532830063;2026-07-01T16:36:09Z;01.07 · 19:36 Київ · Нью-Йорк · open +1h;SOL;77.43;72.25;77.27;0.9662;71;72.25;72.73;72.73;77.27;78.24;79.2;72.01;77.27;;;78.24;79.2;;;76.79;77.27;76.79;72.25;71.28;70.32;77.51;72.25;;;71.28;70.32;;
28551713823;2026-07-01T22:24:02Z;02.07 · 01:24 Київ · Нью-Йорк · close -1h;BTC;60816;57800;60537;473.44;71;57800;58037;58037;60537;61010;61483;57682;60537;;;61010;61483;;;60300;60537;60300;57800;57327;56853;60655;57800;;;57327;56853;;
28551713823;2026-07-01T22:24:02Z;02.07 · 01:24 Київ · Нью-Йорк · close -1h;ETH;1632;1553;1631;15;69;1553;1560;1560;1631;1646;1661;1549;1631;;;1646;1661;;;1623;1631;1623;1553;1538;1523;1635;1553;;;1538;1523;;
28551713823;2026-07-01T22:24:02Z;02.07 · 01:24 Київ · Нью-Йорк · close -1h;SOL;78.42;72.25;78.25;0.9882;70;72.25;72.74;72.74;78.25;79.24;80.23;72;78.25;;;79.24;80.23;;;77.76;78.25;77.76;72.25;71.26;70.27;78.5;72.25;;;71.26;70.27;;
28584413893;2026-07-02T10:49:49Z;02.07 · 13:50 Київ · Азія · close -1h;BTC;61184;58536;61334;517.32;64;58536;58795;58795;61334;61851;62369;58407;61334;;;61851;62369;;;61075;61334;61075;58536;58019;57501;61463;58536;;;58019;57501;;
28584413893;2026-07-02T10:49:49Z;02.07 · 13:50 Київ · Азія · close -1h;ETH;1643;1570;1646;15.33;63;1570;1578;1578;1646;1662;1677;1566;1646;;;1662;1677;;;1639;1646;1639;1570;1555;1539;1650;1570;;;1555;1539;;
28584413893;2026-07-02T10:49:49Z;02.07 · 13:50 Київ · Азія · close -1h;SOL;79.5;74.61;78.96;0.9316;69;74.61;75.08;75.08;78.96;79.89;80.82;74.38;78.96;;;79.89;80.82;;;78.49;78.96;78.49;74.61;73.68;72.75;79.19;74.61;;;73.68;72.75;;
28604620038;2026-07-02T16:11:49Z;02.07 · 19:12 Київ · Нью-Йорк · open +1h;BTC;61613;59588;62200;504.36;64;59588;59840;59840;62200;62704;63209;59462;62200;;;62704;63209;;;61948;62200;61948;59588;59084;58579;62326;59588;;;59084;58579;;
28604620038;2026-07-02T16:11:49Z;02.07 · 19:12 Київ · Нью-Йорк · open +1h;ETH;1697;1597;1725;18.63;72;1597;1607;1607;1725;1744;1762;1593;1725;;;1744;1762;;;1716;1725;1716;1597;1579;1560;1730;1597;;;1579;1560;;
28604620038;2026-07-02T16:11:49Z;02.07 · 19:12 Київ · Нью-Йорк · open +1h;SOL;80.86;76.59;82.78;1.1073;64;76.59;77.14;77.14;82.78;83.89;84.99;76.31;82.78;;;83.89;84.99;;;82.23;82.78;82.23;76.59;75.48;74.38;83.06;76.59;;;75.48;74.38;;
28610951495;2026-07-02T17:58:01Z;02.07 · 20:58 Київ · Лондон · close -1h;BTC;61682;59588;62200;516.99;65;59588;59846;59846;62200;62717;63234;59459;62200;;;62717;63234;;;61942;62200;61942;59588;59071;58554;62329;59588;;;59071;58554;;
28610951495;2026-07-02T17:58:01Z;02.07 · 20:58 Київ · Лондон · close -1h;ETH;1700;1597;1725;18.55;72;1597;1606;1606;1725;1744;1762;1593;1725;;;1744;1762;;;1716;1725;1716;1597;1579;1560;1730;1597;;;1579;1560;;
28610951495;2026-07-02T17:58:01Z;02.07 · 20:58 Київ · Лондон · close -1h;SOL;80.56;76.59;82.78;1.0968;61;76.59;77.14;77.14;82.78;83.88;84.97;76.32;82.78;;;83.88;84.97;;;82.23;82.78;82.23;76.59;75.49;74.4;83.05;76.59;;;75.49;74.4;;
28624986418;2026-07-02T22:15:00Z;03.07 · 01:15 Київ · Нью-Йорк · close -1h;BTC;61592;59716;62200;436.19;61;59716;59934;59934;62200;62636;63072;59607;62200;;;62636;63072;;;61982;62200;61982;59716;59280;58843;62309;59716;;;59280;58843;;
28624986418;2026-07-02T22:15:00Z;03.07 · 01:15 Київ · Нью-Йорк · close -1h;ETH;1700;1603;1725;16.06;69;1603;1611;1611;1725;1741;1757;1599;1725;;;1741;1757;;;1717;1725;1717;1603;1587;1571;1729;1603;;;1587;1571;;
28624986418;2026-07-02T22:15:00Z;03.07 · 01:15 Київ · Нью-Йорк · close -1h;SOL;80.8;77.23;82.78;0.947;61;77.23;77.7;77.7;82.78;83.73;84.67;76.99;82.78;;;83.73;84.67;;;82.31;82.78;82.31;77.23;76.28;75.34;83.02;77.23;;;76.28;75.34;;
28655596408;2026-07-03T10:47:23Z;03.07 · 13:47 Київ · Азія · close -1h;BTC;61719;61109;62200;349.05;59;61109;61284;61284;62200;62549;62898;61022;62200;;;62549;62898;;;62025;62200;62025;61109;60760;60411;62287;61109;;;60760;60411;;
28655596408;2026-07-03T10:47:23Z;03.07 · 13:47 Київ · Азія · close -1h;ETH;1726;1661;1735;14.41;72;1661;1668;1668;1735;1750;1764;1657;1735;;;1750;1764;;;1728;1735;1728;1661;1646;1632;1739;1661;;;1646;1632;;
